VF GID,VF Cate Code
VFG037176,0
VFG037177,0
VFG037203,0
VFG037218,1
VFG037232,1
VFG037246,1
VFG037260,1
VFG037274,1
VFG037288,1
VFG037302,1
VFG037316,1
VFG037330,1
VFG037344,1
VFG037358,1
VFG037372,1
VFG037386,1
VFG037400,1
VFG037414,1
VFG037428,1
VFG037442,1
VFG037456,1
VFG037470,1
VFG037482,1
VFG037490,1
VFG037497,1
VFG037505,1
VFG037513,1
VFG037521,1
VFG037529,1
VFG037537,1
VFG037547,1
VFG037560,2
VFG037586,2
VFG037599,2
VFG037612,2
VFG037625,2
VFG037638,2
VFG037664,2
VFG037678,2
VFG037692,2
VFG037705,2
VFG037720,2
VFG037735,2
VFG037747,3
VFG037762,3
VFG037777,3
VFG037792,3
VFG037807,3
VFG037822,3
VFG037837,3
VFG037852,3
VFG037867,3
VFG037882,3
VFG037897,3
VFG037912,3
VFG037927,3
VFG037942,3
VFG037957,3
VFG037972,3
VFG037987,3
VFG038002,3
VFG038017,3
VFG038047,3
VFG038062,3
VFG038091,3
VFG038105,3
VFG038119,3
VFG038132,3
VFG038144,3
VFG038155,3
VFG038176,3
VFG038191,2
VFG038205,2
VFG038249,3
VFG050303,4
VFG050313,4
VFG050328,4
VFG050342,4
VFG050357,4
VFG050372,4
VFG050386,4
VFG050400,4
VFG050414,4
VFG050428,4
VFG050443,4
VFG050457,4
VFG050470,4
VFG050484,4
VFG050499,4
VFG050514,4
VFG050527,4
VFG050540,4
VFG050554,4
VFG050567,4
VFG050581,4
VFG050595,4
VFG050610,4
VFG050625,4
VFG050640,4
VFG050655,4
VFG050670,4
VFG050685,4
VFG050699,4
VFG050712,5
VFG050727,5
VFG050742,5
VFG050757,5
VFG050772,5
VFG050787,5
VFG050802,5
VFG050817,5
VFG050832,5
VFG050860,5
VFG050874,5
VFG050889,5
VFG050901,6
VFG050910,5
VFG050911,5
VFG050912,5
VFG050946,5
VFG050959,5
VFG050972,5
VFG050986,5
VFG051000,5
VFG051014,5
VFG051028,5
VFG051042,5
VFG051056,5
VFG051070,5
VFG051084,5
VFG051098,5
VFG051109,5
VFG051110,5
VFG051111,5
VFG051112,5
VFG038261,5
VFG038265,5
VFG038269,5
VFG038273,5
VFG038277,5
VFG038281,5
VFG038285,5
VFG038289,5
VFG038293,5
VFG038297,5
VFG038301,5
VFG038305,5
VFG038309,5
VFG038313,5
VFG038317,4
VFG038320,5
VFG038321,5
VFG038322,5
VFG038323,5
VFG038324,5
VFG038325,5
VFG038326,5
VFG038327,5
VFG038328,5
VFG038329,5
VFG038330,5
VFG038331,5
VFG038332,5
VFG038333,5
VFG038334,5
VFG038335,5
VFG038336,5
VFG038337,5
VFG038338,5
VFG038339,5
VFG038340,5
VFG038341,5
VFG038342,5
VFG038343,5
VFG038344,5
VFG038345,5
VFG038346,5
VFG038347,5
VFG038348,5
VFG038349,5
VFG038350,5
VFG038351,5
VFG038352,5
VFG038353,5
VFG038354,5
VFG038355,5
VFG038357,5
VFG038358,5
VFG038359,5
VFG038360,5
VFG038361,5
VFG038362,5
VFG038363,5
VFG038364,5
VFG038365,5
VFG038367,5
VFG038369,5
VFG038371,5
VFG038373,5
VFG038374,5
VFG038375,5
VFG038376,5
VFG038378,5
VFG038380,5
VFG038381,5
VFG038383,5
VFG038385,5
VFG038387,5
VFG038389,5
VFG038391,5
VFG038393,5
VFG038395,5
VFG038397,5
VFG038399,5
VFG038401,5
VFG038402,5
VFG038403,5
VFG038405,5
VFG038407,5
VFG038409,4
VFG038413,4
VFG038417,4
VFG038421,4
VFG038425,4
VFG038429,4
VFG038432,4
VFG038436,4
VFG038444,4
VFG038448,4
VFG038452,4
VFG038456,4
VFG038460,4
VFG038464,4
VFG038468,4
VFG038472,4
VFG038476,4
VFG038480,4
VFG038488,4
VFG038493,4
VFG038497,4
VFG038501,4
VFG038505,4
VFG038509,4
VFG038513,4
VFG038517,4
VFG038521,4
VFG038525,4
VFG038529,4
VFG038533,4
VFG038537,4
VFG038541,4
VFG038545,4
VFG038549,4
VFG038553,4
VFG038557,4
VFG038561,4
VFG038564,4
VFG038568,4
VFG038572,4
VFG038576,4
VFG038578,4
VFG038581,4
VFG038584,4
VFG038587,4
VFG038590,4
VFG038593,4
VFG038596,4
VFG038600,4
VFG038603,4
VFG038607,4
VFG038611,4
VFG038615,4
VFG038619,7
VFG038623,7
VFG038627,7
VFG038631,7
VFG038635,7
VFG038639,7
VFG038643,7
VFG038647,7
VFG038651,7
VFG038655,7
VFG038659,7
VFG038663,7
VFG038667,7
VFG038671,7
VFG038675,7
VFG038679,7
VFG038683,7
VFG038687,7
VFG038691,7
VFG038695,7
VFG038699,7
VFG038703,7
VFG038707,7
VFG038711,7
VFG038715,7
VFG038719,7
VFG038723,7
VFG038727,7
VFG038731,7
VFG038740,7
VFG038743,7
VFG038747,7
VFG038753,7
VFG038756,7
VFG038760,7
VFG038764,7
VFG038768,7
VFG038772,7
VFG038776,7
VFG038780,7
VFG038784,7
VFG038788,7
VFG038792,7
VFG038796,7
VFG038800,7
VFG038804,7
VFG038808,7
VFG038812,7
VFG038816,7
VFG038820,7
VFG038824,7
VFG038828,7
VFG038832,7
VFG038836,7
VFG038840,7
VFG038845,7
VFG038848,7
VFG038851,7
VFG038855,7
VFG038856,7
VFG038857,7
VFG038858,7
VFG038859,7
VFG038860,7
VFG038861,7
VFG038862,7
VFG038863,7
VFG038864,7
VFG038865,7
VFG038866,7
VFG038867,7
VFG038868,7
VFG038869,7
VFG038870,7
VFG038871,7
VFG038872,7
VFG038873,7
VFG038874,7
VFG038875,7
VFG038876,7
VFG038877,7
VFG038878,7
VFG038879,7
VFG038880,7
VFG038881,7
VFG038882,7
VFG038883,7
VFG038884,7
VFG038885,7
VFG038886,7
VFG038887,7
VFG038888,7
VFG038889,7
VFG038890,7
VFG038892,0
VFG038912,0
VFG038914,0
VFG038915,0
VFG038916,0
VFG038917,0
VFG038918,0
VFG038922,5
VFG038929,5
VFG038936,5
VFG038943,5
VFG038950,5
VFG038957,5
VFG038964,5
VFG038972,5
VFG038979,5
VFG038986,5
VFG038993,5
VFG038997,5
VFG039001,5
VFG039005,5
VFG039009,5
VFG039014,5
VFG039018,5
VFG039025,5
VFG039032,5
VFG039039,5
VFG039046,5
VFG039053,5
VFG039059,5
VFG039063,5
VFG039070,5
VFG039077,8
VFG039084,8
VFG039088,8
VFG045355,3
VFG045357,3
VFG045360,3
VFG045361,3
VFG045362,3
VFG045365,3
VFG045368,3
VFG045369,3
VFG045370,3
VFG045372,3
VFG045373,3
VFG045374,3
VFG045375,3
VFG045376,3
VFG045377,3
VFG045378,3
VFG045379,3
VFG045381,3
VFG045383,3
VFG045384,3
VFG045385,3
VFG045386,3
VFG045387,3
VFG045388,3
VFG045390,3
VFG045391,3
VFG045393,3
VFG045395,3
VFG045396,3
VFG045400,3
VFG045402,3
VFG045403,3
VFG045407,3
VFG045408,3
VFG045409,3
VFG045411,3
VFG045413,3
VFG045414,3
VFG045418,3
VFG045424,3
VFG045425,3
VFG045426,3
VFG045428,3
VFG045431,3
VFG045432,3
VFG045437,3
VFG045438,3
VFG045439,3
VFG045440,3
VFG045441,3
VFG045452,3
VFG045453,3
VFG045454,3
VFG045462,3
VFG045463,3
VFG045469,3
VFG000676,0
VFG000677,0
VFG000678,0
VFG000679,3
VFG000680,3
VFG000681,3
VFG000682,3
VFG002040,9
VFG016216,0
VFG016223,0
VFG016254,0
VFG016260,0
VFG016263,0
VFG016270,0
VFG016278,0
VFG016286,0
VFG016338,6
VFG016346,6
VFG016356,1
VFG016362,1
VFG040864,5
VFG040865,5
VFG040867,5
VFG040868,5
VFG049919,4
VFG049956,1
VFG049962,1
VFG049968,1
VFG049974,1
VFG049980,1
VFG049986,1
VFG049994,1
VFG050005,1
VFG050016,1
VFG050027,1
VFG050038,1
VFG050111,0
VFG050112,0
VFG050113,0
VFG050114,0
VFG050115,0
VFG050116,0
VFG050117,0
VFG050118,0
VFG002231,5
VFG002232,5
VFG002233,5
VFG002234,5
VFG002235,5
VFG002236,5
VFG002237,5
VFG002238,5
VFG002239,5
VFG002240,5
VFG002241,5
VFG002242,5
VFG002243,5
VFG002244,5
VFG002245,5
VFG002246,5
VFG002247,5
VFG002248,5
VFG002249,5
VFG002250,5
VFG002251,5
VFG002252,5
VFG002253,5
VFG002254,5
VFG002255,5
VFG002256,5
VFG002257,5
VFG002258,5
VFG002259,5
VFG002260,5
VFG002261,5
VFG002262,5
VFG002263,5
VFG002264,5
VFG002265,5
VFG002266,5
VFG002267,5
VFG002268,5
VFG002269,5
VFG002270,4
VFG016757,7
VFG016758,7
VFG016759,7
VFG016760,7
VFG016761,7
VFG016762,7
VFG016763,7
VFG016764,7
VFG016765,7
VFG016766,7
VFG016767,7
VFG016768,7
VFG016769,7
VFG016770,7
VFG016771,7
VFG016772,7
VFG016773,7
VFG016774,7
VFG016775,7
VFG016776,7
VFG016777,7
VFG016778,7
VFG016779,7
VFG016780,7
VFG016781,7
VFG016782,7
VFG016783,7
VFG016784,7
VFG016802,5
VFG018683,5
VFG041370,5
VFG052292,3
VFG052296,3
VFG052300,3
VFG052304,3
VFG052308,3
VFG052312,3
VFG052316,3
VFG052320,3
VFG052324,3
VFG052328,3
VFG052332,3
VFG052336,3
VFG000001,4
VFG000002,4
VFG000003,4
VFG000004,4
VFG000005,4
VFG000007,4
VFG000008,4
VFG000009,4
VFG000010,4
VFG000011,0
VFG000012,0
VFG000013,0
VFG000014,0
VFG000015,0
VFG000025,0
VFG000026,0
VFG000027,3
VFG000028,3
VFG000029,3
VFG000030,3
VFG000031,3
VFG000032,3
VFG000033,3
VFG000034,3
VFG000035,3
VFG000036,3
VFG000037,3
VFG000038,3
VFG000039,5
VFG000040,5
VFG000041,5
VFG000042,5
VFG000043,5
VFG000044,5
VFG000045,5
VFG000046,5
VFG000047,5
VFG000048,5
VFG000049,5
VFG000050,5
VFG000051,5
VFG000052,5
VFG000053,5
VFG000054,5
VFG000055,5
VFG000056,5
VFG000057,5
VFG000058,5
VFG000059,5
VFG000060,5
VFG000061,5
VFG000062,5
VFG000063,5
VFG000064,5
VFG000065,5
VFG000066,5
VFG000067,5
VFG000158,0
VFG001269,0
VFG001270,0
VFG001271,0
VFG001272,4
VFG002044,9
VFG002045,9
VFG011072,5
VFG011087,5
VFG042069,5
VFG042070,5
VFG042071,5
VFG042072,5
VFG042075,5
VFG046121,4
VFG002208,5
VFG002209,5
VFG002210,5
VFG002211,5
VFG002212,5
VFG002213,5
VFG002214,5
VFG002215,5
VFG002216,5
VFG002217,5
VFG002218,5
VFG002219,3
VFG002220,3
VFG002221,3
VFG002222,3
VFG002223,3
VFG002224,3
VFG002225,3
VFG002226,3
VFG002227,3
VFG002228,3
VFG002229,3
VFG002230,3
VFG011389,3
VFG011394,3
VFG011399,3
VFG011404,3
VFG011409,3
VFG011414,3
VFG011419,3
VFG011424,3
VFG011429,3
VFG011430,3
VFG011439,3
VFG011444,3
VFG011453,3
VFG011505,3
VFG011510,3
VFG011515,3
VFG011519,3
VFG011524,3
VFG011528,3
VFG011533,3
VFG011535,3
VFG011626,9
VFG011631,9
VFG041369,5
VFG041431,5
VFG041432,5
VFG045340,5
VFG045465,3
VFG045466,3
VFG051113,4
VFG051120,4
VFG051123,4
VFG051125,4
VFG051131,4
VFG051134,4
VFG051142,4
VFG051149,5
VFG051158,5
VFG051167,5
VFG051176,5
VFG051185,5
VFG051202,5
VFG051235,5
VFG051244,5
VFG051253,5
VFG051262,5
VFG051271,5
VFG002424,7
VFG002425,4
VFG002426,4
VFG002427,4
VFG002428,4
VFG002429,4
VFG002430,4
VFG002431,4
VFG002432,4
VFG002433,4
VFG002434,4
VFG002435,4
VFG002436,4
VFG002437,4
VFG002438,5
VFG002439,5
VFG002440,5
VFG002441,5
VFG002442,5
VFG002443,5
VFG002444,5
VFG002445,5
VFG002446,5
VFG002447,5
VFG002448,5
VFG002449,5
VFG002450,5
VFG002451,5
VFG002452,5
VFG002453,5
VFG002454,5
VFG002455,5
VFG002456,5
VFG002457,5
VFG002458,5
VFG002459,5
VFG002460,5
VFG002461,5
VFG002462,5
VFG002463,5
VFG002464,5
VFG002465,5
VFG002466,5
VFG002467,5
VFG002468,5
VFG002469,5
VFG002470,5
VFG002471,5
VFG002472,5
VFG002473,5
VFG002474,5
VFG002475,5
VFG002476,5
VFG002477,5
VFG002478,5
VFG002479,5
VFG002480,5
VFG002481,5
VFG002482,5
VFG002483,5
VFG002484,5
VFG002485,5
VFG002486,5
VFG002487,5
VFG002488,5
VFG002489,5
VFG002490,7
VFG002491,7
VFG002492,7
VFG002493,7
VFG002494,7
VFG002495,7
VFG002496,7
VFG002497,7
VFG002498,7
VFG002499,7
VFG002500,7
VFG002501,7
VFG002502,7
VFG002503,7
VFG002504,7
VFG002505,7
VFG002506,7
VFG002507,7
VFG002508,7
VFG002509,7
VFG002510,7
VFG002511,7
VFG002512,7
VFG002513,7
VFG002514,7
VFG002515,7
VFG002516,7
VFG002517,7
VFG002518,7
VFG002519,7
VFG002520,7
VFG002521,7
VFG002522,7
VFG002523,7
VFG002524,7
VFG002525,7
VFG002526,7
VFG002527,7
VFG002528,7
VFG002529,7
VFG002530,7
VFG002531,7
VFG002532,7
VFG002533,7
VFG002534,7
VFG002535,7
VFG002536,7
VFG002537,2
VFG002538,2
VFG002539,2
VFG002540,2
VFG002541,2
VFG002542,2
VFG002543,2
VFG002544,2
VFG002545,3
VFG002546,3
VFG002547,3
VFG002548,3
VFG002549,3
VFG002550,3
VFG002551,3
VFG002552,3
VFG002553,3
VFG002554,3
VFG002555,3
VFG002556,3
VFG002557,3
VFG002558,3
VFG002559,3
VFG002560,3
VFG002561,3
VFG002562,3
VFG002563,3
VFG002564,3
VFG002565,3
VFG002566,3
VFG002567,3
VFG002568,3
VFG002569,3
VFG041118,5
VFG041119,5
VFG041120,5
VFG041780,5
VFG042964,4
VFG042965,4
VFG042966,4
VFG045467,9
VFG001890,7
VFG001891,7
VFG001892,7
VFG001893,7
VFG001894,7
VFG001895,7
VFG001896,7
VFG001897,7
VFG001898,7
VFG001899,7
VFG001900,7
VFG001901,7
VFG001902,7
VFG001903,7
VFG001904,7
VFG001905,7
VFG001906,7
VFG001907,7
VFG001908,7
VFG001909,7
VFG001910,7
VFG001911,7
VFG001912,7
VFG001913,7
VFG001914,7
VFG001915,7
VFG001916,7
VFG001917,7
VFG001918,7
VFG001919,7
VFG001920,7
VFG001921,7
VFG001922,7
VFG001923,7
VFG001924,7
VFG001925,7
VFG001926,7
VFG001927,7
VFG001928,7
VFG001929,7
VFG001930,7
VFG001931,4
VFG001932,0
VFG001933,0
VFG001934,0
VFG001935,8
VFG001936,3
VFG001937,3
VFG001938,3
VFG001939,3
VFG001940,3
VFG001941,3
VFG001942,3
VFG001943,3
VFG001944,3
VFG001945,3
VFG001947,3
VFG001948,3
VFG001949,3
VFG001950,3
VFG001951,3
VFG001952,3
VFG001953,3
VFG001954,3
VFG001955,3
VFG001956,3
VFG001957,3
VFG001958,3
VFG001959,3
VFG001960,3
VFG001961,3
VFG001962,3
VFG001963,3
VFG001964,3
VFG001965,3
VFG001966,3
VFG001967,3
VFG001968,3
VFG001969,3
VFG001970,3
VFG001971,3
VFG001972,3
VFG001973,3
VFG001974,3
VFG001975,3
VFG001976,5
VFG001977,5
VFG001978,5
VFG001980,5
VFG001983,4
VFG001984,4
VFG001985,4
VFG001986,3
VFG001987,3
VFG001988,3
VFG001989,3
VFG002024,3
VFG002025,3
VFG002026,3
VFG002027,3
VFG002028,3
VFG011668,3
VFG011671,3
VFG011674,3
VFG011677,3
VFG011757,5
VFG011823,3
VFG011826,7
VFG011850,7
VFG011938,7
VFG011946,7
VFG012002,7
VFG012006,7
VFG012009,7
VFG012019,7
VFG012022,7
VFG012033,7
VFG012036,7
VFG043392,7
VFG043393,7
VFG043394,7
VFG043395,7
VFG043396,7
VFG043397,7
VFG043398,7
VFG043399,7
VFG043400,7
VFG043401,7
VFG043402,7
VFG043403,7
VFG043404,7
VFG043405,7
VFG043472,4
VFG045341,8
VFG002124,5
VFG002125,5
VFG002126,5
VFG002127,5
VFG002128,5
VFG002129,5
VFG002130,5
VFG002131,5
VFG002132,5
VFG002133,5
VFG002134,5
VFG002135,5
VFG002136,5
VFG002137,5
VFG002138,5
VFG002139,5
VFG002140,5
VFG002141,5
VFG002142,5
VFG002143,5
VFG002144,5
VFG002145,5
VFG002146,5
VFG002147,5
VFG002148,5
VFG002149,5
VFG002150,5
VFG002151,5
VFG002152,5
VFG002153,5
VFG002154,5
VFG016998,5
VFG017038,5
VFG017049,5
VFG017059,5
VFG042183,5
VFG042184,5
VFG042185,5
VFG042186,5
VFG042187,5
VFG042196,5
VFG042197,5
VFG042200,5
VFG042201,5
VFG042202,5
VFG042203,5
VFG043572,4
VFG043574,4
VFG044455,5
VFG044456,5
VFG044457,5
VFG044458,5
VFG044459,5
VFG049554,5
VFG049610,5
VFG049619,5
VFG049624,5
VFG049637,5
VFG049649,5
VFG049661,5
VFG049666,5
VFG049684,6
VFG050220,5
VFG050221,5
VFG050222,5
VFG050223,5
VFG050224,5
VFG050225,5
VFG050226,5
VFG050227,5
VFG050228,5
VFG050229,5
VFG050230,5
VFG050231,5
VFG050232,5
VFG050233,5
VFG050234,5
VFG050235,5
VFG050236,5
VFG050237,5
VFG050238,5
VFG050239,5
VFG050240,5
VFG050241,5
VFG050242,5
VFG050243,5
VFG050244,5
VFG050245,5
VFG050246,5
VFG050247,5
VFG050248,5
VFG050249,5
VFG050250,5
VFG050251,5
VFG050252,5
VFG050253,5
VFG050254,5
VFG050255,5
VFG050256,5
VFG050257,5
VFG050258,5
VFG050259,5
VFG050260,5
VFG050261,5
VFG050262,5
VFG050263,5
VFG050264,5
VFG050265,5
VFG050266,5
VFG050267,5
VFG050268,5
VFG050269,5
VFG050270,5
VFG050271,5
VFG050272,5
VFG051291,4
VFG051303,4
VFG051314,4
VFG051319,4
VFG051330,4
VFG051360,4
VFG051368,4
VFG051435,4
VFG051447,4
VFG051474,8
VFG002274,0
VFG002275,0
VFG002276,6
VFG002277,6
VFG002278,6
VFG002279,6
VFG002280,6
VFG002281,6
VFG002282,6
VFG002285,6
VFG002286,0
VFG002287,0
VFG002288,0
VFG002289,0
VFG002290,0
VFG002291,0
VFG002292,0
VFG002293,0
VFG002296,0
VFG002300,0
VFG012088,4
VFG012089,4
VFG012095,4
VFG012104,4
VFG012114,0
VFG012122,0
VFG012160,6
VFG012162,6
VFG012191,0
VFG019178,0
VFG019180,0
VFG043656,0
VFG043666,0
VFG043773,0
VFG043774,0
VFG043775,0
VFG043778,0
VFG044015,0
VFG044024,0
VFG044025,0
VFG050212,4
VFG050213,4
VFG050214,4
VFG050215,6
VFG050216,4
VFG050217,4
VFG050218,6
VFG051287,0
VFG002198,0
VFG002199,4
VFG002200,4
VFG002201,4
VFG013668,4
VFG050289,4
VFG050290,4
VFG050291,4
VFG050292,4
VFG050293,10
VFG052267,4
VFG052274,4
VFG052280,4
VFG039101,5
VFG039106,5
VFG039111,5
VFG039116,5
VFG039121,5
VFG039126,5
VFG039131,5
VFG039136,5
VFG039141,5
VFG039146,5
VFG039151,5
VFG039156,5
VFG039161,5
VFG039166,5
VFG039171,5
VFG039176,5
VFG039181,5
VFG039186,5
VFG039191,5
VFG039196,5
VFG039201,5
VFG039206,5
VFG039211,5
VFG039216,5
VFG039226,5
VFG039231,5
VFG039236,5
VFG039240,5
VFG039245,5
VFG039255,5
VFG039269,5
VFG039274,5
VFG039282,5
VFG039287,5
VFG039302,5
VFG039311,5
VFG039316,5
VFG039326,5
VFG039331,5
VFG039336,5
VFG039341,5
VFG039345,5
VFG039351,5
VFG039356,5
VFG039361,5
VFG039366,5
VFG039371,5
VFG039376,5
VFG039381,5
VFG039386,5
VFG039395,5
VFG039400,5
VFG039405,5
VFG039410,5
VFG039425,5
VFG039430,5
VFG039446,5
VFG039449,5
VFG039454,5
VFG039459,5
VFG039464,5
VFG039474,5
VFG039481,5
VFG039486,5
VFG039491,5
VFG039496,5
VFG039501,5
VFG039526,5
VFG039531,5
VFG039536,5
VFG039541,5
VFG039545,5
VFG039549,5
VFG039558,5
VFG039563,5
VFG039568,5
VFG039572,5
VFG039575,5
VFG039580,5
VFG039585,5
VFG039590,5
VFG039595,5
VFG039600,5
VFG039605,5
VFG039615,5
VFG039623,5
VFG039626,5
VFG039631,5
VFG039636,5
VFG039641,5
VFG039646,5
VFG039656,5
VFG039661,5
VFG039666,5
VFG039671,5
VFG039676,5
VFG039681,5
VFG039691,5
VFG039696,5
VFG039700,5
VFG039704,5
VFG039706,5
VFG039708,5
VFG039710,5
VFG039714,5
VFG039716,5
VFG039719,5
VFG041423,5
VFG041424,5
VFG041425,5
VFG041426,5
VFG041427,5
VFG041429,5
VFG041433,5
VFG046157,5
VFG046162,5
VFG046166,5
VFG046177,5
VFG046182,5
VFG046187,5
VFG046194,5
VFG046196,5
VFG046201,5
VFG046206,5
VFG046211,5
VFG046214,5
VFG002164,4
VFG002165,4
VFG002166,4
VFG002171,4
VFG002172,4
VFG002173,4
VFG002174,6
VFG002175,0
VFG002176,0
VFG002177,0
VFG002178,0
VFG002179,4
VFG002180,3
VFG002181,3
VFG002182,3
VFG002183,3
VFG002184,3
VFG002185,3
VFG002186,3
VFG002187,3
VFG002188,3
VFG002189,3
VFG002190,3
VFG002191,6
VFG002192,2
VFG002193,2
VFG002194,2
VFG002195,6
VFG002196,6
VFG002197,2
VFG042976,4
VFG042977,4
VFG042978,4
VFG042979,4
VFG043518,4
VFG045470,0
VFG045472,0
VFG045473,0
VFG045474,0
VFG045626,4
VFG045632,4
VFG045635,4
VFG000710,9
VFG000739,5
VFG000750,4
VFG000751,4
VFG000752,4
VFG000755,4
VFG000757,4
VFG000760,4
VFG000762,4
VFG000763,9
VFG000764,9
VFG000765,9
VFG000794,5
VFG000795,5
VFG000796,5
VFG000797,5
VFG000799,5
VFG000800,5
VFG000801,5
VFG000802,5
VFG000803,5
VFG000804,5
VFG000805,5
VFG000806,5
VFG000807,5
VFG000808,5
VFG000809,5
VFG000810,5
VFG000811,5
VFG000812,5
VFG000813,5
VFG000814,5
VFG000815,5
VFG000816,5
VFG000817,5
VFG000818,5
VFG000819,5
VFG000820,5
VFG000821,5
VFG000822,5
VFG000823,5
VFG000824,5
VFG000825,5
VFG000826,5
